en_label,ja_label,category_en,category_ja,en_description,ja_description,qid
trail making test,トレイルメイキングテスト,surgery,外科手術,test of the subject's ability to connect numbered and lettered circles in sequence,,Q3997285
Ventricular reduction,左室形成術,surgery,外科手術,type of operation in cardiac surgery,,Q7920321
masculinizing surgery,女性から男性への手術,surgery,外科手術,variety of procedures,,Q7458532
Total iron-binding capacity,総鉄結合能,surgery,外科手術,blood test that measures the blood's capacity to bind iron with transferrin,,Q3979553
Stanford V,スタンフォードV,surgery,外科手術,chemotherapy regimen,,Q7598815
AN/PAS-13,AN/PAS-13,surgery,外科手術,Infrared sight used on small arms,,Q4652863
Basic metabolic panel,基礎代謝パネル,surgery,外科手術,blood test,,Q4867039
complement fixation test,補体結合反応,surgery,外科手術,serologic blood test based on inactivation of complement by the antigen-antibody complex (stage 1),,Q904197
metachromasia,異染性,surgery,外科手術,characteristical change in the color of staining carried out in biological tissues,,Q72428
partial thromboplastin time,活性化部分トロンボプラスチン時間,surgery,外科手術,test for coagulation of the blood,,Q1755136
lipid profile,脂質像,surgery,外科手術,panel of blood tests,,Q2723972
Stanford–Binet Intelligence Scales,スタンフォード＝ビネー知能検査,surgery,外科手術,an individually administered intelligence test that was revised from the original Binet–Simon Scale,,Q1763297
Blood typing,血液適合性検査,surgery,外科手術,test to identify blood groups,,Q93263576
pacemaker implantation,ペースメーカー植え込み術,surgery,外科手術,implantation of an artificial pacemaker device,,Q110972765
COVID-19 test,COVID-19検査,surgery,外科手術,diagnostic testing for the respiratory illness COVID-19 and the underlying pathogen SARS-CoV-2 coronavirus,新型コロナウイルス感染症（COVID-19）および新型コロナウイルスに関する臨床検査,Q86901049
Reiki,レイキ,surgery,外科手術,pseudoscientific Japanese alternative medicine similar to laying on of hands,民間療法のひとつ,Q183057
John F. Kennedy autopsy,ジョン・F・ケネディの検死,surgery,外科手術,"performed on U.S. President John F. Kennedy, on the day of his assassination, at Bethesda Naval Hospital in Bethesda, Maryland",,Q6232413
air force officer,空軍将校,medical procedure,医療処置,military officer in an air force,,Q19934710
United States Naval Aviator,アメリカ海軍飛行士,medical procedure,医療処置,commissioned officer or warrant officer qualified as a manned aircraft pilot in the United States Navy or United States Marine Corps,,Q7890793
SARS-CoV-2 Alpha variant,SARSコロナウイルス2-アルファ株,virus,ウイルス,variant of SARS-CoV-2,SARSコロナウイルス2の変異株,Q104376647
tobacco mosaic virus,タバコモザイクウイルス,virus,ウイルス,species of virus,ウイルスの一種,Q332874
SARS-CoV-2,SARSコロナウイルス2,virus,ウイルス,virus that causes COVID-19,2019年に存在が報告された新種のコロナウイルス、COVID-19の原因となる感染症,Q82069695
infectious bursal disease virus,伝染性ファブリキウス囊病,virus,ウイルス,species of virus,,Q707615
Giles,ジャイルズ,virus,ウイルス,genus of viruses,,Q5561597
Reolysin,レオライシン,virus,ウイルス,OX PITCH . please Google my name,,Q7313867
Amanita vaginata,ツルタケ,fungus,真菌,species of fungus,,Q913459
Amanita subjunquillea,タマゴタケモドキ,fungus,真菌,species of fungus,,Q1615505
Entoloma rhodopolium,クサウラベニタケ,fungus,真菌,poisonous mushroom found in Europe and Asia,,Q2422232
Amanita phalloides,タマゴテングタケ,fungus,真菌,species of fungus,テングダケ科テングダケ属のキノコ,Q188643
cartwtereementas de mitas,クロラッパタケ,fungus,真菌,species of edible fungus,アンズタケ科のキノコ,Q857903
Cantharellus cibarius,アンズタケ,fungus,真菌,species of fungus,アンズタケ科のキノコの一種,Q188749
Entoloma sinuatum,イッポンシメジ,fungus,真菌,species of fungus,,Q1424216
Russula emetica,ドクベニタケ,fungus,真菌,species of fungus,,Q614625
Imleria badia,ニセイロガワリ,fungus,真菌,species of fungus,,Q752497
Kōji,麹,fungus,真菌,fermentation starter,日本など主に東アジア圏で普遍的な食品発酵の材料,Q865501
Brettanomyces,ブレタノマイセス属,fungus,真菌,genus of fungi (anamorph),,Q2411973
Russula virescens,アイタケ,fungus,真菌,species of fungus,,Q677341
Hygrophorus russula,サクラシメジ,fungus,真菌,species of fungus,ヌメリガサ科のキノコ,Q2714680
Russula delica,シロハツ,fungus,真菌,species of fungus,,Q843177
Laccaria laccata,キツネタケ,fungus,真菌,Common white spored mushroom also known as The Deceiver,ヒドナンギウム科のキノコ,Q597340
Siding Spring Survey,サイディング・スプリングサーベイ,medical device,医療機器,near-Earth object search program,,Q492918
Hubble eXtreme Deep Field,ハッブル・エクストリーム・ディープ・フィールド,medical device,医療機器,multiple exposure image of deep space in the constellation Fornax,,Q62917
Beijing Schmidt CCD Asteroid Program,北京天文台CCD小惑星観測プログラム,medical device,医療機器,1990s astronomical survey in China,,Q814731
Agatha Christie bibliography,アガサ・クリスティの著作一覧,medical device,医療機器,list of works by Agatha Christie,ウィキメディアの一覧記事,Q76979
Incunabula Short Title Catalogue,揺籃期本短題目録,medical device,医療機器,bibliographic database,書誌学のデータベース,Q634670
Spacewatch,スペースウォッチ,medical device,医療機器,University of Arizona project for study of minor planets and comets,,Q213563
Sloan Digital Sky Survey,スローン・デジタル・スカイサーベイ,medical device,医療機器,multi-spectral imaging and spectroscopic redshift survey,,Q840332
H. P. Lovecraft bibliography,ラヴクラフト作品一覧,medical device,医療機器,author bibliography,ウィキメディアの一覧記事,Q1056048
Notes and Queries,ノーツ・アンド・クエリーズ,medical device,医療機器,journal,イギリスの学術雑誌,Q1129889
Indiana Asteroid Program,インディアナ小惑星計画,medical device,医療機器,,1949年～1967年にインディアナ州のゲーテ・リンク天文台で実施された小惑星観測プログラム,Q1661301
Hungarian Scientific Bibliography,ハンガリー科学書誌,medical device,医療機器,,,Q1162264
J. R. R. Tolkien bibliography,中つ国関連の文献一覧,medical device,医療機器,all published works of the English writer and philologist J. R. R. Tolkien,,Q330047
Johto Pokédex,ジョウト順のポケモン一覧,medical device,医療機器,,,Q11310550
WorldCat,WorldCat,medical device,医療機器,international union library catalog,世界の図書館の蔵書を目録化した総合目録,Q846596
Hubble Ultra-Deep Field,ハッブル・ウルトラ・ディープ・フィールド,medical device,医療機器,multiple exposure image of deep space in the constellation Fornax,ハッブル宇宙望遠鏡による超深宇宙領域の探査,Q429670
Bibliotheca universalis,ビブリオテカ・ウニヴェルサリス,medical device,医療機器,"1545–49 listing of all the books printed in Latin, Greek, or Hebrew then known",,Q445
The European Library,European Library,medical device,医療機器,web service providing access to resources of national libraries across Europe,ヨーロッパ各地の国立図書館のリソースへのアクセスを提供するインターネットサービス,Q240304
OCA-DLR Asteroid Survey,OCA-DLR小惑星サーベイ,medical device,医療機器,,小惑星探索用のサーベイ,Q1759008
Kanto Pokédex,カントーずかん,medical device,医療機器,Pokémon entity,,Q18086661
BATTeRS,BATTeRS,medical device,医療機器,Japanese project to find asteroids,日本の小惑星探索プロジェクト,Q795475
central Kalos Pokédex,セントラルカロスずかん,medical device,医療機器,,,Q18086671
Hoenn Pokédex,ホウエン順のポケモン一覧,medical device,医療機器,,,Q18086665
Sinnoh Pokédex,シンオウ順のポケモン一覧,medical device,医療機器,,,Q18086666
Unova Pokédex,イッシュ順のポケモン一覧,medical device,医療機器,,,Q18086667
Uppsala–ESO Survey of Asteroids and Comets,UESAC,medical device,医療機器,project to find asteroids and comets,小惑星探索プロジェクト,Q1785454
Durchmusterung,掃天星表,medical device,医療機器,star catalogue,,Q845735
Palomar–Leiden survey,パロマー・ライデンサーベイ,medical device,医療機器,astronomical survey of minor planets in the Solar System,,Q2048368
Lowell Observatory Near-Earth-Object Search,ロウエル天文台近傍小惑星捜索,medical device,医療機器,project designed to discover asteroids and comets that orbit near the Earth,天文プロジェクト。地球の近くを周回する小惑星や彗星の発見を目指す,Q1165635
Carlos Castaneda bibliography,カルロス・カスタネダの著作リスト,medical device,医療機器,,,Q3639512
Digitized Sky Survey,デジタイズド・スカイ・サーベイ,medical device,医療機器,digitization of several astronomical surveys by the Space Telescope Science Institute,デジタル写真星図,Q1225100
Catalina Sky Survey,カタリナ・スカイサーベイ,medical device,医療機器,"project to discover comets and asteroids, and to search for Near-Earth objects",,Q515838
list of works by Akira Toriyama,鳥山明の作品一覧,medical device,医療機器,Wikimedia list article,ウィキメディアの一覧記事,Q3256275
Magellan Planet Search Program,マゼラン・プラネット・サーチ・プログラム,medical device,医療機器,ground-based search for extrasolar planets,,Q6730084
Planet-Crossing Asteroid Survey,PCAS,medical device,医療機器,"project to find planet-crossing asteroids, related inner-belt asteroids, and comets",,Q962178
Akala Pokédex,アーカラ図鑑,medical device,医療機器,,,Q116749847
Melemele Pokédex,メレメレ図鑑,medical device,医療機器,,,Q116749865
Poni Pokédex,ポニ図鑑,medical device,医療機器,,,Q116749855
Ula'ula Pokédex,ウラウラ図鑑,medical device,医療機器,,,Q116749849
Emmy Noether bibliography,エミー・ネーターの出版物一覧,medical device,医療機器,Wikimedia list article,,Q3253716
Hubble Deep Field South,ハッブル・ディープ・フィールド・サウス,medical device,医療機器,multiple exposure image of deep space in the constellation Tucana,,Q1117262
Near-Earth Asteroid Tracking,地球近傍小惑星追跡,medical device,医療機器,program run by NASA and the Jet Propulsion Laboratory to discover near Earth objects,,Q1140499
Lick–Carnegie Exoplanet Survey,リック・カーネギー系外惑星サーベイ,medical device,医療機器,astronomical survey focusing on exoplanets,,Q6543515
Anglo-Australian Planet Search,アングロ・オーストラリアン惑星探査,medical device,医療機器,astronomical survey by the Anglo-Australian Observatory,,Q4763589
Third Cambridge Catalogue of Radio Sources,ケンブリッジカタログ 第3版,medical device,医療機器,astronomical catalogue of celestial radio sources,,Q598937
National Geographic Society – Palomar Observatory Sky Survey,パロマー天文台スカイサーベイ,medical device,医療機器,"astronomical survey, that took almost 2,000 photographic plates of the night sky",,Q1425489
Slavoj Žižek bibliography,スラヴォイ・ジジェクの著作一覧,medical device,医療機器,,,Q3250988
Asiago-DLR Asteroid Survey,アジアーゴDLR小惑星サーベイ,medical device,医療機器,astronomical survey conducted in the early 2000s,,Q928254
canon of Sherlock Holmes,シャーロック・ホームズシリーズ,medical device,医療機器,56 short stories and four novels written by Sir Arthur Conan Doyle,イギリスの小説,Q2316684
PALFA Survey,PALFAサーベイ,medical device,医療機器,Large-scale astronomical survey,,Q7118129
SuperWASP,スーパーWASP,medical device,医療機器,exoplanet search project,,Q572830
Ohio Sky Survey,オハイオ・スカイサーベイ,medical device,医療機器,astronomical survey,,Q7080899
Deep Ecliptic Survey,黄道深部サーベイ,medical device,医療機器,astronomy project,,Q1182368
Pan-STARRS,パンスターズ,medical device,医療機器,"array of astronomical telescopes, cameras, and computing equipment which surveys the sky on a continual basis",,Q1075600
Optical Gravitational Lensing Experiment,Optical Gravitational Lensing Experiment,medical device,医療機器,long-term variability sky survey,暗黒物質探索サーベイ,Q1032158
Lincoln Near-Earth Asteroid Research,リンカーン地球近傍小惑星探査,medical device,医療機器,"research project, collaboration between the U.S. Air Force, NASA, and the Massachusetts Institute of Technology's Lincoln Laboratory",米国空軍、NASA、MITリンカーン研究所の共同プロジェクト,Q735603
bibliography on the Rwandan Genocide,ルワンダ虐殺の参考文献,medical device,医療機器,,,Q2901222
bibliography of Wikipedia,ウィキペディアに関する書籍の一覧,medical device,医療機器,list of books about Wikipedia,ウィキペディアの一覧記事,Q2798582
Alan Moore bibliography,アラン・ムーアの作品一覧,medical device,医療機器,,,Q2472148
Bibliography of fly fishing,フライフィッシングの文献一覧,medical device,医療機器,,,Q4903434
Dictionnaire des ouvrages anonymes et pseudonymes,筆名辞典 (フランス),medical device,医療機器,book by Antoine Alexandre Barbier,,Q3026746
Texas Supernova Search,テキサススーパーノバサーチ,medical device,医療機器,Search for supernovae,,Q7708105
Palomar Transient Factory,パロマー・トランジエント・ファクトリー,medical device,医療機器,astronomical survey program,,Q7128610
P. G. Wodehouse bibliography,P・G・ウッドハウスの著作一覧,medical device,医療機器,Wikimedia list article,,Q4086319
revised Hoenn Pokédex,新型ホウエンずかん,medical device,医療機器,,,Q18922463
Asteroid Terrestrial-impact Last Alert System,小惑星地球衝突最終警報システム,medical device,医療機器,asteroid early warning system,,Q17002475
Gaia Data Release 3,ガイア・データ・リリース3,medical device,医療機器,third release of the Gaia star catalogue,,Q66061041
Kalos Pokédex,カロス順のポケモン一覧,medical device,医療機器,Pokédex,,Q55521408
Kilodegree Extremely Little Telescope,Kilodegree Extremely Little Telescope,medical device,医療機器,astronomical observation system,太陽系外惑星観測システム,Q17088615
The Dark Energy Survey,ダークエネルギー・サーベイ,medical device,医療機器,visible and near-infrared survey that aims to probe the dynamics of the expansion of the Universe and the growth of large-scale structure,宇宙論に制約を与えるための大規模天文サーベイ,Q7728930
Galar Pokédex,ガラル順のポケモン一覧,medical device,医療機器,,ガラル地方のポケモン図鑑に登場するポケモンの一覧,Q75387698
Search for habitable Planets EClipsing ULtra-cOOl Stars,SPECULOOS望遠鏡,medical device,医療機器,astronomical observatory,,Q25248071
Gaia Data Release 1,ガイア・データ・リリース1,medical device,医療機器,first release of the Gaia star catalog,,Q37859523
Alola Pokédex,アローラずかん,medical device,医療機器,,,Q25336664
coastal Kalos Pokédex,コーストカロスずかん,medical device,医療機器,,,Q18089574
mountain Kalos Pokédex,マウンテンカロスずかん,medical device,医療機器,,,Q18089575
Deep Near Infrared Survey of the Southern Sky,DENIS (天文),medical device,医療機器,1996-2001 astronomical survey,,Q16248742
revised Johto Pokédex,新型ジョウトずかん,medical device,医療機器,,,Q18099930
revised Unova Pokédex,新型イッシュずかん,medical device,医療機器,,,Q18100125
Zwicky Transient Facility,ツビッキー掃天観測,medical device,医療機器,wide-field sky survey at Palomar Observatory,,Q43401707
National Pokédex,ぜんこくずかん,medical device,医療機器,list of all Pokémon,,Q20005020
Gaia Data Release 4,ガイア・データ・リリース4,medical device,医療機器,fourth release of the Gaia star catalogue,,Q112663203
Sagittarius Window Eclipsing Extrasolar Planet Search,Sagittarius Window Eclipsing Extrasolar Planet Search,medical device,医療機器,2006 astronomical survey,太陽系外惑星探索サーベイ,Q2665313
NACSIS-CAT,NACSIS-CAT,medical device,医療機器,Japanese online cataloging system (National Center for Science Information Systems - Catalogue Information Service),国立情報学研究所 (NII) が提供している総合目録,Q11234325
The Center for Astrophysics Redshift Survey,CfA赤方偏移サーベイ,medical device,医療機器,Map survey of the universe,赤方偏移サーベイ,Q2947220
Common Library Network,共同図書館ネットワーク,medical device,医療機器,"German Library cataloge union of different Librarys located in the federal states of Lower Saxony, Saxony-Anhalt, Thuringia, Hamburg, Bremen, Schleswig-Holstein, Mecklenburg-Vorpommern and Berlin",,Q1500919
2dF Galaxy Redshift Survey,2dF銀河赤方偏移サーベイ,medical device,医療機器,astronomical survey,天文サーベイ,Q2815842
Oxford Libraries Information System,オックスフォード図書館情報システム,medical device,医療機器,former library catalogue of Oxford University,,Q7115394
South-West German Library Network,南西ドイツ図書館連盟,medical device,医療機器,German library association,,Q1684093
Kalliope,カリオペ,medical device,医療機器,library catalog run by the German State Library,ドイツ国立図書館が運営する図書館カタログ,Q1722480
All Sky Automated Survey,全天自動捜索システム,medical device,医療機器,astronomical survey,,Q4385811
2MASS,2MASS,medical device,医療機器,astronomical survey,天文サーベイ,Q1454942
Harvard University,ハーバード大学,medical device,医療機器,"private university in Cambridge, Massachusetts",アメリカ・マサチューセッツ州にある私立大学,Q13371
K10plus,K10プラス,medical device,医療機器,library union catalog,,Q100884768
CiNii Books,CiNii Books,medical device,医療機器,database of books and journals held by university libraries in Japan,日本の国立情報学研究所が運営する目録検索サービス,Q115920710
Bavarian Library Network,バヴァリア図書館協議会,medical device,医療機器,German library association and union catalog,図書館協議会、連盟の書誌台帳（ドイツ）,Q21034576
North Rhine-Westphalian Library Service Centre,ノルトライン・ヴェストファーレン州大学図書館サービスセンター,medical device,医療機器,Organization in North Rhine-Westphalia,,Q18085187
SHARE Catalogue,SHARE目録,medical device,医療機器,library catalogue shared between several universities in Southern Italy,南イタリアの複数の大学間で共有されている図書目録,Q56557486
Hubble Deep Field,ハッブル・ディープ・フィールド,medical device,医療機器,multiple exposure image of deep space in the constellation Ursa Major,,Q741255
Rize tea,リゼ・ティー,medical device,医療機器,black tea variety from Turkey,,Q2912478
Keemun,祁門紅茶,medical device,医療機器,famous Chinese black tea,中国で生産される紅茶の銘柄,Q1376140
UK Rock & Metal Charts,全英ロックチャート,medical device,医療機器,UK record charts published by the Official Charts Company,,Q2698302
CHUM Chart,CHUMヒットパレード,medical device,医療機器,Canadian music chart,,Q5011402
National Collective Archive of Periodicals,全国定期刊行物アーカイブ,medical device,医療機器,website of the Italian catalogue of periodicals,イタリアのウェブサイト,Q3600584
Teh Tarik,テータリック,medical device,医療機器,Malaysian milk tea,,Q3174775
Hoboken-Verzeichnis,ホーボーケン番号,medical device,医療機器,catalogue of Joseph Haydn's music,フランツ・ヨーゼフ・ハイドンの音楽作品に付された番号,Q739093
Irish breakfast tea,アイリッシュ・ブレックファストティー,medical device,医療機器,a strong blend of black teas,,Q3818294
Köchel catalogue,ケッヘル番号,medical device,医療機器,catalogue of Mozart compositions,モーツァルトの作品目録に付された番号,Q162478
Top Pop Catalog Albums,全米カタログ,medical device,医療機器,weekly albums chart produced by Billboard,,Q2781321
Pazz & Jop,パズ＆ジョップ,medical device,医療機器,annual music poll,,Q4046553
Baozhong,文山包種茶,medical device,医療機器,famous Taiwan spring tea between green and oolong,,Q2106693
SUDOC,フランス大学図書館総合目録,medical device,医療機器,"system used by the libraries of French universities and higher education establishments to identify, track and manage the documents in their possession",フランスの書誌データベース,Q2597810
Hot R&B/Hip-Hop Airplay,ビルボード・R&B/ヒップホップ・エアプレイチャート,medical device,医療機器,Billboard chart,,Q2975917
High mountain tea,高山茶,medical device,医療機器,varieties of oolong tea grown in Taiwan,,Q5757613
WoO (Beethoven),WoO,medical device,医療機器,identification number of classical works by Ludwig van Beethoven without opus number,,Q616043
Yingdehong tea,英徳紅茶,medical device,医療機器,black tea,,Q2908881
Neue Bach-Ausgabe,新バッハ全集,medical device,医療機器,"second complete edition of the music of Johann Sebastian Bach, published by Bärenreiter",,Q950630
Dongfang meiren tea,東方美人,medical device,医療機器,oolong tea,,Q5295867
Theatrum pictorium,Theatrum pictorium,medical device,医療機器,catalog of 246 paintings by David Teniers (II),,Q26709924
Händel-Werke-Verzeichnis,ヘンデル作品主題目録番号,medical device,医療機器,catalogue of Handel's Works,,Q847730
Telemann-Werke-Verzeichnis,テレマン作品主題目録番号,medical device,医療機器,catalogue of compositions by Georg Philipp Telemann,,Q164058
Scottish Singles and Albums Charts,スコットランドの音楽チャート,medical device,医療機器,"music chart in Scotland, UK",,Q2812334
ARIA Digital Track Chart,ARIAデジタル・トラック・チャート,medical device,医療機器,Nonea,,Q2789571
Hukou system,中華人民共和国の戸籍制度,medical device,医療機器,household registration & residency tracking system in the People’s Republic of China,,Q1636218
VRT Top 30,ベルギー VRT Top 30,medical device,医療機器,Belgian music chart up to 1992,,Q2788927
Mac App Store,Mac App Store,medical device,医療機器,digital app distribution platform for macOS,アップル社の運営するmacOS向けのアプリストア,Q932688
Cydia,Cydia,medical device,医療機器,package manager for jailbroken iOS,,Q502129
Tieguanyin,鉄観音,medical device,医療機器,"famous oolong tea, one of top-10 Chinese teas",,Q1328947
Hans Christian Andersen bibliography,ハンス・クリスチャン・アンデルセンの作品の一覧,medical device,医療機器,published works by Hans Christian Andersen,ウィキメディアの一覧記事,Q1281967
Princeton University,プリンストン大学,medical device,医療機器,"private Ivy League research university in Princeton, New Jersey, United States",アメリカの私立大学,Q21578
Columbia University,コロンビア大学,medical device,医療機器,private university in New York City,アメリカの私立大学,Q49088
University of Pennsylvania,ペンシルベニア大学,medical device,医療機器,"private research university in Philadelphia, Pennsylvania, United States",アメリカの私立大学,Q49117
Great Women Masters of Art,Great Women Masters of Art,medical device,医療機器,reference work by Jordi Vigué,,Q28927781
"Leidse fijnschilders van Gerrit Dou tot Frans van Mieris de Jonge, 1630-1760",Leidse fijnschilders,medical device,医療機器,catalog by Eric Jan Sluijter for fijnschilder exhibition in Leiden Lakenhal 10 September - 4 December 1988,,Q29948644
"Jan Steen, étude sur l'art en Hollande","Jan Steen, étude sur l'art en Hollande",medical device,医療機器,catalog of art by Tobias van Westrheene,,Q29214465
SloTop50,SloTop50,medical device,医療機器,"weekly, monthly and yearly updated list of top 50 singles on Slovenian radio stations",,Q20036793
Haarlem: The Cradle of the Golden Age,ハーレム: 黄金時代の揺籃,medical device,医療機器,exhibition and catalog of exhibition in the Frans Hals Museum in Haarlem and Kunsthalle der Hypo-Kulturstiftung in Munich,展示図録 フランス・ハルス美術館 （ハーレム) 、ヒポ文化財団美術館 (ミュンヘン) 共催,Q20743524
120 paintings from the Rijksmuseum,アムステルダム国立美術館の120作品,medical device,医療機器,"tourist guide of 120 painting highlights sold separately, but accompanying full text catalog of paintings on show, with illustrations. Published from c. 1950-c. 1990, a few paintings were switched out over the years",,Q20643929
"Women Painters of the World, from the time of Caterina Vigri, 1413-1463, to Rosa Bonheur and the present day, 1905",世界の女性画家,medical device,医療機器,1905 book listing an overview of women painters,,Q19507487
Still Life Paintings from the Netherlands 1550-1720,オランダの静物画 1550年-1720年,medical device,医療機器,exhibition and catalog 1999-2000 Rijksmuseum Amsterdam and Cleveland Museum of Art,展示図録、アムステルダム国立美術館、クリーブランド美術館共催 会期1999年-2000年,Q20678531
Jacob van Ruisdael exhibition 1981-1982,ヤーコプ・ファン・ロイスダール展1981年-1982年,medical device,医療機器,joint art exhibition Mauritshuis and Fogg Art Museum; catalog by Seymour Slive,マウリッツハイス美術館とフォッグ美術館共催の展覧会,Q20754643
Gaia Archive,ガイア・アーカイヴ,medical device,医療機器,archive of data from ESA's Gaia mission,,Q104880908
Domesday Book,ドゥームズデイ・ブック,medical device,医療機器,"manuscript record of the ""Great Survey"" of much of England and parts of Wales completed in 1086",11世紀のイングランド王国で行われた検地の結果を記録した台帳,Q19867
Bibliography of works on the United States military and LGBT+ topics,アメリカ軍とLGBT+のトピックに関する作品の参考文献,medical device,医療機器,,,Q65041524
Billboard Japan Hot Buzz Song,Billboard Japan Hot Buzz Song,medical device,医療機器,Hot Buzz Song by Billboard Japan,Billboard JapanによるSNS楽曲チャート,Q56351802
Billboard Japan Hot Albums,Billboard Japan Hot Albums,medical device,医療機器,album chart by Billboard Japan,Billboard Japanによるアルバムチャート,Q56351807
Billboard Japan Streaming Songs,Billboard Japan Streaming Songs,medical device,医療機器,streaming songs chart by Billboard Japan,Billboard JAPANによる配信楽曲チャート,Q56351805
Billboard Japan Download Songs,Billboard Japan Download Songs,medical device,医療機器,Download Songs chart by Billboard Japan,Billboard Japanによる配信楽曲チャート,Q56351810
George Tragos/Lou Thesz Professional Wrestling Hall of Fame,ジョージ・トラゴス/ルー・テーズプロフェッショナルレスリング殿堂,medical device,医療機器,professional wrestling hall of fame,,Q60740765
FIBA Hall of Fame,FIBA殿堂,medical device,医療機器,international basketball award,,Q586458
Uppsala General Catalogue,ウプサラ銀河カタログ,medical device,医療機器,catalogue of galaxies visible from the northern hemisphere,天体カタログ,Q615925
Who's Who,フーズ・フー,medical device,医療機器,British autobiographical dictionary,イギリスの自叙伝辞書,Q2567271
Romanian Top 100,ロマニアン・トップ100,medical device,医療機器,Romanian airplay chart,,Q3042748
Canadian Baseball Hall of Fame,カナダ野球殿堂,medical device,医療機器,"sports museum in Ontario, Canada",カナダのオンタリオ州パース郡セント・メリーズにある野球専門の博物館,Q3517652
National Collegiate Basketball Hall of Fame,全米カレッジバスケットボール殿堂,medical device,医療機器,"college basketball hall of fame in Kansas City, Missouri",,Q3336862
Women's Basketball Hall of Fame,女子バスケットボール殿堂,medical device,医療機器,"sport hall of fame in Knoxville, Tennessee",,Q2038865
Catalogue of Galaxies and Clusters of Galaxies,カタログ・オブ・ギャラクシーズ・アンド・オブ・クラスターズ・オブ・ギャラクシーズ,medical device,医療機器,astronomical catalog,,Q1536481
International Gymnastics Hall of Fame,国際体操殿堂,medical device,医療機器,"Hall of fame in Oklahoma, USA",,Q1666611
Italian Football Hall of Fame,イタリアサッカー殿堂,medical device,医療機器,hall of fame for association football players,,Q1847685
International Swimming Hall of Fame,国際水泳殿堂,medical device,医療機器,"hall of fame for swimmers, divers and water polo players in Fort Lauderdale, Florida",,Q744713
International Boxing Hall of Fame,国際ボクシング名誉の殿堂博物館,medical device,医療機器,"honors boxers, trainers and other contributors to the boxing sport worldwide",,Q572227
Pepsi Max,ペプシ・マックス,medical device,医療機器,sugar free cola,,Q3493770
Independent Albums,米国Indie,medical device,医療機器,Billboard chart,,Q2642564
International Tennis Hall of Fame,国際テニス殿堂,medical device,医療機器,"tennis museum and venue in Newport, USA",,Q52454
Chopin National Edition,エキエル版,medical device,医療機器,Complete urtext edition of works by Frédéric Chopin,,Q108091469
IIHF Hall of Fame,国際アイスホッケー殿堂,medical device,医療機器,hall of fame of the International Ice Hockey Federation,,Q58818
SEARCH on line catalogue,SEARCHオンライン目録,medical device,医療機器,,,Q104866947
Royal Library of Belgium (KBR) Online Catalogue,ベルギー王立図書館オンライン・カタログ,medical device,医療機器,online public access catalogue of the Royal Library of Belgium (KBR),ベルギー王立図書館 (KBR) のオンライン・パブリック・アクセス・カタログ,Q104828762
Billboard Japan Hot Animation,Billboard Japan Hot Animation,medical device,医療機器,Animation song chart by Billboard Japan,Billboard Japanによるアニメ楽曲チャート,Q41654582
Adult R&B Songs,アダルトR&Bソングス,medical device,医療機器,Billboard song chart,,Q39087026
Catalog of the German National Library,ドイツ国立図書館図書目録,medical device,医療機器,catalogue contains the holdings information of the German National Library starting from 1913,,Q23833686
Pride and joy: Children's portraits in the Netherlands 1500-1700,誇りと喜び: オランダの子どもの肖像画 1500年代-1700年代,medical device,医療機器,painting exhibition in the Frans Hals Museum and KMSK Antwerp in 2000,展示図録 フランス・ハルス美術館とベルギー王立美術館共催 2000年,Q24259403
Tophit,ロシアの音楽チャート,medical device,医療機器,"Radio Distribution, Airplay Monitoring, Charts",,Q3298136
Tropical Airplay,トロピカル・ソングス・チャート,medical device,医療機器,US radio airplay music chart,,Q3298336
Canada's Walk of Fame,カナダ・ウォーク・オブ・フェイム,medical device,医療機器,"street in Toronto, Ontario, Canada",,Q857933
RIAJ Digital Track Chart,RIAJ有料音楽配信チャート,medical device,医療機器,Japanese record chart,,Q3232070
Hockey Hall of Fame,ホッケーの殿堂,medical device,医療機器,sports museum in downtown Toronto,カナダオンタリオ州トロントに所在する、アイスホッケーの歴史等を保存する建物,Q1136687
"Avenue of Stars, London",アベニュー・オブ・スターズ,medical device,医療機器,"temporary walk of Fame in London, England",,Q790588
My Documents,マイドキュメント,medical device,医療機器,"special folder in Microsoft Windows, where users store their personal non-shared documents",,Q3306764
Bright Star Catalogue,輝星目録,medical device,医療機器,"star catalogue; lists all stars of magnitude 6.5 or brighter; contains 9110 objects: 9095 stars, 11 (super)novae, 2 globular clusters (47 Tuc, NGC 2808), and 2 open clusters (NGC 2281, M67)",,Q499138
Walk of Game,ウォーク・オブ・ゲーム,medical device,医療機器,video game industry monument,,Q2166318
Alberta Sports Hall of Fame and Museum,アルバータ州スポーツの殿堂入り,medical device,医療機器,"museum in Red Deer, Alberta, Canada",,Q4711825
Walk of Fame Europe,ヨーロッパ名声の歩道,medical device,医療機器,,,Q2542366
Hollywood's Rock Walk of Fame,ハリウッド・ロックウォーク,medical device,医療機器,,,Q3139400
ITTF Hall of Fame,世界卓球殿堂,medical device,医療機器,museum in Switzerland,,Q1322526
Paralympic Hall of Fame,パラリンピック殿堂,medical device,医療機器,hall of fame established by the International Paralympic Committee,,Q4014757
National Football Museum Hall of Fame,イングランドサッカー殿堂,medical device,医療機器,"hall of fame in Manchester, England",,Q1323117
Dr. Seuss bibliography,ドクター・スースの書誌,medical device,医療機器,"bibliography of Theodore ""Dr. Seuss"" Giesel",,Q5304383
